index,reference,category
1,Device.DeviceInfo.Description,DeviceInfo
2,Device.RootDataModelVersion,DeviceInfo
3,Device.WiFi.X_TPG_BandSteering.Enable,WiFi/DataElements
4,Device.WiFi.SSID.*.SSID,WiFi/DataElements
5,Device.WiFi.SSID.*.LowerLayers,WiFi/DataElements
6,Device.WiFi.Radio.*.Enable,WiFi/DataElements
7,Device.WiFi.Radio.*.Status,WiFi/DataElements
8,Device.DeviceInfo.Manufacturer,DeviceInfo
9,Device.DeviceInfo.UpTime,DeviceInfo
10,Device.WiFi.Radio.*.Channel,WiFi/DataElements
11,Device.WiFi.Radio.*.OperatingChannelBandwidth,WiFi/DataElements
12,Device.WiFi.Radio.*.OperatingFrequencyBand,WiFi/DataElements
13,Device.WiFi.Radio.*.CurrentOperatingChannelBandwidth,WiFi/DataElements
14,Device.WiFi.Radio.*.OperatingStandards,WiFi/DataElements
15,Device.WiFi.Radio.*.TransmitPower,WiFi/DataElements
16,Device.ManagementServer.ConnectionRequestURL,ManagementServer
17,Device.WiFi.Radio.*.SupportedStandards,WiFi/DataElements
18,Device.WiFi.DataElements.Network.Device.*.Radio.*.Noise,WiFi/DataElements
19,Device.WiFi.DataElements.Network.Device.*.Radio.*.Utilization,WiFi/DataElements
20,Device.WiFi.AccessPoint.*.Status,WiFi/DataElements
21,Device.WiFi.AccessPoint.*.AssociatedDevice.*.Stats.RetryCount,WiFi/DataElements
22,Device.WiFi.AccessPoint.*.AssociatedDevice.*.SignalStrength,WiFi/DataElements
23,Device.WiFi.AccessPoint.*.SSIDReference,WiFi/DataElements
24,Device.WiFi.AccessPoint.*.AssociatedDevice.*.MACAddress,WiFi/DataElements
25,Device.WiFi.AccessPoint.*.AssociatedDevice.*.LastDataDownlinkRate,WiFi/DataElements
26,Device.WiFi.AccessPoint.*.AssociatedDevice.*.LastDataUplinkRate,WiFi/DataElements
27,Device.WiFi.AccessPoint.*.Enable,WiFi/DataElements
28,Device.WiFi.AccessPoint.*.AssociatedDevice.*.OperatingStandard,WiFi/DataElements
29,Device.WiFi.Radio.*.Stats.,WiFi/DataElements
30,Device.WiFi.DataElements.Network.Device.*.Radio.*.BSS.*.STANumberOfEntries,WiFi/DataElements
31,Device.WiFi.DataElements.Network.Device.*.Radio.*.BSS.*.STA.*.MACAddress,WiFi/DataElements
32,Device.WiFi.DataElements.Network.Device.*.Radio.*.BSS.*.BSSID,WiFi/DataElements
33,Device.WiFi.DataElements.Network.Device.*.Radio.*.BSS.*.STA.*.BytesSent,WiFi/DataElements
34,Device.WiFi.DataElements.Network.Device.*.Radio.*.BSS.*.STA.*.BytesReceived,WiFi/DataElements
35,Device.WiFi.DataElements.Network.Device.*.Radio.*.BSS.*.STA.*.LastConnectTime,WiFi/DataElements
36,Device.WiFi.DataElements.Network.Device.*.Radio.*.BSS.*.SSID,WiFi/DataElements
37,Device.Hosts.Host.*.PhysAddress,Hosts
38,Device.Hosts.Host.*.IPAddress,Hosts
39,Device.Hosts.Host.*.ClientID,Hosts
40,Device.Hosts.Host.*.HostName,Hosts
41,Device.Hosts.Host.*.Active,Hosts
42,Device.Hosts.Host.*.InterfaceType,Hosts
43,Device.WiFi.DataElements.Network.Device.*.Radio.*.BSS.*.STA.*.LastDataDownlinkRate,WiFi/DataElements
44,Device.WiFi.DataElements.Network.Device.*.Radio.*.BSS.*.STA.*.LastDataUplinkRate,WiFi/DataElements
45,Device.WiFi.DataElements.Network.Device.*.Radio.*.BSS.*.STA.*.EstMACDataRateDownlink,WiFi/DataElements
46,Device.WiFi.DataElements.Network.Device.*.Radio.*.BSS.*.STA.*.EstMACDataRateUplink,WiFi/DataElements
47,Device.Firewall.Enable,Firewall
48,Device.Ethernet.Interface.*.DuplexMode,Ethernet
49,Device.Ethernet.Interface.*.Enable,Ethernet
50,Device.Ethernet.Interface.1.MACAddress,Ethernet
51,Device.Ethernet.Interface.1.Name,Ethernet
52,Device.Ethernet.Interface.*.Stats.BytesReceived,Ethernet
53,Device.Ethernet.Interface.*.Stats.BytesSent,Ethernet
54,Device.Ethernet.Interface.*.Stats.ErrorsReceived,Ethernet
55,Device.Ethernet.Interface.*.Stats.ErrorsSent,Ethernet
56,Device.Ethernet.Interface.*.Stats.PacketsReceived,Ethernet
57,Device.Ethernet.Interface.*.Stats.PacketsSent,Ethernet
58,Device.Ethernet.Interface.*.Status,Ethernet
59,Device.Ethernet.Interface.*.Upstream,Ethernet
60,Device.IP.Interface.*.Alias,IP
61,Device.IP.Interface.*.Enable,IP
62,Device.IP.Interface.*.IPv4Address.*.AddressingType,IP
63,Device.IP.Interface.*.IPv4Address.*.Enable,IP
64,Device.IP.Interface.*.IPv4Address.*.IPAddress,IP
65,Device.IP.Interface.*.IPv4Address.*.Status,IP
66,Device.IP.Interface.*.IPv4Address.*.SubnetMask,IP
67,Device.IP.Interface.*.IPv4Enable,IP
68,Device.IP.Interface.*.IPv6Enable,IP
69,Device.IP.Interface.*.LowerLayers,IP
70,Device.IP.Interface.*.Status,IP
71,Device.IP.Interface.*.Stats.BytesReceived,IP
72,Device.IP.Interface.*.Stats.BytesSent,IP
73,Device.IP.Interface.*.Stats.ErrorsReceived,IP
74,Device.IP.Interface.*.Stats.ErrorsSent,IP
75,Device.IP.Interface.*.Stats.PacketsReceived,IP
76,Device.IP.Interface.*.Stats.PacketsSent,IP
77,Device.DeviceInfo.MemoryStatus.Free,DeviceInfo
78,Device.DeviceInfo.MemoryStatus.Total,DeviceInfo
79,Device.DeviceInfo.HardwareVersion,DeviceInfo
80,Device.DeviceInfo.ManufacturerOUI,DeviceInfo
81,Device.DeviceInfo.ModelName,DeviceInfo
82,Device.DeviceInfo.ProductClass,DeviceInfo
83,Device.DeviceInfo.ProcessStatus.CPUUsage,DeviceInfo
84,Device.DeviceInfo.SerialNumber,DeviceInfo
85,Device.DeviceInfo.SoftwareVersion,DeviceInfo
